Date des parties,Heuristique,Gagnant
17/04/2022 16:15,0.9*h1 + 0.1*h2,0
17/04/2022 16:16,0.9*h1 + 0.1*h2,0
17/04/2022 16:17,0.9*h1 + 0.1*h2,0
17/04/2022 16:18,0.9*h1 + 0.1*h2,0
17/04/2022 16:19,0.9*h1 + 0.1*h2,0
17/04/2022 16:20,0.9*h1 + 0.1*h2,0
17/04/2022 16:21,0.9*h1 + 0.1*h2,0
17/04/2022 16:22,0.9*h1 + 0.1*h2,0
17/04/2022 16:23,0.9*h1 + 0.1*h2,0
17/04/2022 16:24,0.9*h1 + 0.1*h2,0
17/04/2022 16:25,0.9*h1 + 0.1*h2,0
17/04/2022 16:26,0.9*h1 + 0.1*h2,0
